name,writer,rate,plot,lang,char,setting,litery award,link
The Things They Carried,Tim O'Brien,4.13,"In 1979, Tim O'Brien's ",English,,,"Pulitzer Prize Nominee for Fiction (1991),Chicago Tribune Heartland Prize for Fiction (1990),Prix du Meilleur Livre Étranger for Roman (1990),National Book Critics Circle Award Nominee for Fiction (1990)",https://www.goodreads.com/book/show/133518.The_Things_They_Carried
A Portrait of the Artist as a Young Man,James Joyce,3.62,"The portrayal of Stephen Dedalus's Dublin childhood and youth, his quest for identity through art and his gradual emancipation from the claims of family, religion and Ireland itself, is also an oblique self-portrait of the young James Joyce and a universal testament to the artist's 'eternal imagination'. Both an insight into Joyce's life and childhood, and a unique work of modernist fiction, ",English,,"Clongowes Wood College, Kildare",,https://www.goodreads.com/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man
Fear and Loathing in Las Vegas,Hunter S. Thompson,4.08," is the best chronicle of drug-soaked, addle-brained, rollicking good times ever committed to the printed page. It is also the tale of a long weekend road trip that has gone down in the annals of American pop culture as one of the strangest journeys ever undertaken.",English,,"Las Vegas, Nevada",,https://www.goodreads.com/book/show/7745.Fear_and_Loathing_in_Las_Vegas
Blindness,José Saramago,4.13,"A city is hit by an epidemic of ""white blindness"" that spares no one. Authorities confine the blind to an empty mental hospital, but there the criminal element holds everyone captive, stealing food rations, and assaulting women. There is one eyewitness to this nightmare who guides her ",English,"The boy with the squint,The old man with the black eye patch,The car thief",,"Premio San Clemente for Novela Estranxeira (1999),International Dublin Literary Award Nominee (1999)",https://www.goodreads.com/book/show/40495148-blindness
Cat's Cradle,Kurt Vonnegut Jr.,4.16,"Dr Felix Hoenikker, one of the founding 'fathers' of the atomic bomb, has left a deadly legacy to the world. For he's the inventor of 'ice-nine', a lethal chemical capable of freezing the entire pla",English,"""Papa"" Monzano,Mona Aamons Monzano,John   --",San Lorenzo,Hugo Award Nominee for Best Novel (1964),https://www.goodreads.com/book/show/135479.Cat_s_Cradle
Franny and Zooey,J.D. Salinger,3.98,"The short story, ",English,,,National Book Award Finalist for Fiction (1962),https://www.goodreads.com/book/show/5113.Franny_and_Zooey
Winnie-the-Pooh,A.A. Milne,4.34,,,"Roo (A.A. Milne),Eeyore (A.A. Milne),Rabbit (A.A. Milne)",Hundred Acre Wood,,https://www.goodreads.com/book/show/99107.Winnie_the_Pooh
Sophie's Choice,William Styron,4.18,,English,,"Brooklyn, New York City, New York","National Book Award for Fiction (Hardcover) (1980),National Book Critics Circle Award Nominee for Fiction (1979)",https://www.goodreads.com/book/show/228560.Sophie_s_Choice
name,writer,rate,plot,lang,char,setting,litery award,link
The Diary of a Young Girl,Anne Frank,4.15,"Discovered in the attic in which she spent the last years of her life, Anne Frank’s remarkable diary has become a world classic—a powerful reminder of the horrors of war and an eloquent testament to the human spirit. ",,"Peter van Daan,Edith Frank,Miep Gies,Albert Dussel,Anne Frank",Amsterdam,Luisterboek Award Nominee (2008),https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl
To Kill a Mockingbird,Harper Lee,4.28,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.",,"Aunt Alexandra,Bob Ewell,Calpurnia (housekeeper),Tom Robinson,Miss Maudie Atkinson,Judge John Taylor,Dill Harris,Heck Tate,Stephanie Crawford","Maycomb, Alabama","Pulitzer Prize for Fiction (1961),Audie Award for Classic (2007),National Book Award Finalist for Fiction (1961),Alabama Author Award for Fiction (1961)",https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
Fahrenheit 451,Ray Bradbury,3.99,"Guy Montag is a fireman. In his world, where television rules and literature is on the brink of extinction, firemen start fires rather than put them out. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden.",English,Professor Faber,,"Prometheus Hall of Fame Award (1984),Geffen Award for Best Translated SF Book (2002),California Book Award for Fiction (Silver) (1953),Retro Hugo Award for Best Novel (2004)",https://www.goodreads.com/book/show/13079982-fahrenheit-451
The Catcher in the Rye,J.D. Salinger,3.81,The hero-narrator of ,English,"D.B Caulfield,Sally Hayes,Holden Caufield,Robert Ackley,Stradlater,Phoebe Caulfield,Allie Caulfield,D.B Caulfield,Sally Hayes","New York City, New York","Teen Read Award Nominee for Best All-Time-Fave (2010),National Book Award Finalist for Fiction (1952)",https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
Animal Farm,George Orwell,3.95,"A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown",English,"Muriel,Jones,Squealer,Moses the Raven,Benjamin",England,"Prometheus Hall of Fame Award (2011),Retro Hugo Award for Best Novella (1996)",https://www.goodreads.com/book/show/170448.Animal_Farm
The Great Gatsby,F. Scott Fitzgerald,3.92,Alternate Cover Edition ISBN: 0743273567 (ISBN13: ,,"Myrtle Wilson,Meyer Wolfsheim,George Wilson",,Grammy Award Nominee for Best Spoken Word Album (2003),https://www.goodreads.com/book/show/4671.The_Great_Gatsby
1984,George Orwell,4.19,"Among the seminal texts of the 20th century, ",English,"Syme,Julia,Mr. Charrington","London, England","Prometheus Hall of Fame Award (1984),Locus Award Nominee for All-Time Best Science Fiction Novel (1987)",https://www.goodreads.com/book/show/40961427-1984
The Little Prince,Antoine de Saint-Exupéry,4.31,A PBS Great American Read Top 100 Pick,,,,Retro Hugo Award for Best Novella (2019),https://www.goodreads.com/book/show/157993.The_Little_Prince
Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.47,"Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft and Wizardry.",,"Severus Snape,Quirinus Quirrell,Rubeus Hagrid,Lord Voldemort,Minerva McGonagall,Neville Longbottom,Fred Weasley,George Weasley,Percy Weasley,Filius Flitwick,Pomona Sprout,Molly Weasley,Poppy Pomfrey,Oliver Wood,Parvati Patil,Dean Thomas,James Potter,Lily Potter,Seamus Finnigan,Garrick Ollivander,Rolanda Hooch,Katie Bell,Albus Dumbledore,Dedalus Diggle,Harry Potter,Hermione Granger,Lavender Brown",,"Mythopoeic Fantasy Award for Children's Literature (2008),British Book Award for Children's Book of the Year (1998),Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002),American Booksellers Book Of The Year  Award for Children (1999),Audie Award (2000),West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2000),South Carolina Book Award for Junior Book Award (2001),Grand Canyon Reader Award for Teen Book (2000),Charlotte Award (2000),Nene Award (2000),Massachusetts Children's Book Award (2000),Colorado Blue Spruce Young Adult Book Award (2001),Blue Hen Book Award for Chapter Book (2001),Nevada Young Readers' Award for Young Reader Category (2000),Golden Archer Award for Middle/Junior High (2000),Indian Paintbrush Book Award (2000),Hotze de Roosprijs (2002),Nestlé Smarties Book Prize for 9–11 years (1997),Eliot Rosewater Indiana High School Book Award (2001),Kinderboekwinkelprijs (1999),Parenting Book of the Year Award (1998),North East Teenage Book Award (1999),Specsavers National Book Award for Children's Book of the Year (1998),Washington State Sasquatch Award (2000),Literaturpreis der Jury der jungen Leser for Kinderbuch (1999),Carnegie Medal Nominee (1997),Rebecca Caudill Young Readers' Book Award (2001),Premi Protagonista Jove for Categoria 12-13 anys (2000)",https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.27,"In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.",English,"Gollum,Dwalin,Balin,Kili,Fili,Dori,Ori,Nori,Oin,Gloin,Bifur,Bofur,Bombur,Beorn,Bard the Bowman",,"Keith Barker Millennium Book Award,Books I Loved Best Yearly (BILBY) Awards for Older Readers (1997),Mythopoeic Scholarship Award for Inklings Studies (1990)",https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.22,"Narnia...the land beyond the wardrobe door, a secret place frozen in eternal winter, a magical country waiting to be set free.",,"Susan Pevensie,Jadis,Mr. & Mrs. Beaver","London, England","Lewis Carroll Shelf Award (1962),The Keith Barker Millennium Children's Book Awards 'Children's Book of the Century',Retro Hugo Award Nominee for Best Novel (2001)",https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
The Grapes of Wrath,John Steinbeck,3.97,"The Pulitzer Prize-winning epic of the Great Depression, a book that galvanized—and sometimes outraged—millions of readers.",English,"Jim Casy,Al Joad,Ruthie Joad,Winfield Joad,Noah Joad,Grampa Joad,Granma Joad,Connie Rivers",Oklahoma,"Pulitzer Prize for Novel (1940),National Book Award for Fiction (1939),California Book Award for General Literature (Silver) (1939),Audie Award for Classic (1999)",https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath
Lord of the Flies,William Golding,3.69,,English,,,,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.08,,English,"Edgar Derby,Robert Pilgrim,Valencia Merble,Barbara Pilgrim,Howard W. Campbell Jr.,Montana Wildhack,Bertam Copeland Rumfoord,...less,Ardennes",Dresden,"Hugo Award Nominee for Best SF Novel (1970),Nebula Award Nominee for Best Novel (1969),National Book Award Finalist for Fiction (1970),Chicago Publishers' Award (1970)",https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
Lolita,Vladimir Nabokov,3.89,,English,,United States of America,National Book Award Finalist for Fiction (1959),https://www.goodreads.com/book/show/7604.Lolita
East of Eden,John Steinbeck,4.37,"In his journal, Nobel Prize winner John Steinbeck called East of Eden “the first book,” and indeed it has the primordial power and simplicity of myth. Set in the rich farmland of California’s Salinas Valley, this sprawling and often brutal novel follows the intertwined destinies of two families—the Trasks and the Hamiltons—whose generations helplessly reenact the fall of Adam and Eve and the poisonous rivalry of Cain and Abel.",English,"Cyrus Trask,Mrs. Trask,Alice Trask,Adam Trask,Charles Trask,Aron Trask,Caleb Trask,Samuel Hamilton,Liza Hamilton,George Hamilton,Will Hamilton,Joe Hamilton,Lizzie Hamilton,Una Hamilton,Dessie Hamilton,Olive Hamilton,Mollie Hamilton,Cathy Ames,Abra Bacon,Joe Valery",California,"Audie Award for Classic (2004),National Book Award Finalist for Fiction (1953)",https://www.goodreads.com/book/show/4406.East_of_Eden
Of Mice and Men,John Steinbeck,3.88,The compelling story of two outsiders striving to find their place in an unforgiving world. ,English,"Slim,Crooks,Whit,Carlson","Salinas Valley, California",New York Drama Critics' Circle Award for Best American Play (1938),https://www.goodreads.com/book/show/890.Of_Mice_and_Men
Brave New World,Aldous Huxley,3.99,,English,"The Warden,Pope,Linda (Brave New World),Fanny Crowne,The Director,The Arch-Community Songster",New Mexico,,https://www.goodreads.com/book/show/5129.Brave_New_World
One Hundred Years of Solitude,Gabriel García Márquez,4.08,,,"José Arcadio Buendía,Amaranta Buendía,Amaranta Úrsula Buendía,Aureliano Babilonia,José Arcadio Segundo,Aureliano Segundo,Aureliano José,Pilar Ternera,Rebeca Buendía,Santa Sofía de la Piedad,Arcadio Buendía,José Arcadio Buendía, hijo,Meme Buendía,Petra Cotes,Pietro Crespi,Melquiades",,"Premio Internacional de Novela Rómulo Gallegos (1972),Prix du Meilleur Livre Étranger for Roman (1969)",https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
The Handmaid's Tale,Margaret Atwood,4.11,"Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now . . . ",,"Moira,Luke Castellan","Cambridge, Massachusetts","Booker Prize Nominee (1986),Nebula Award Nominee for Best Novel (1986),Locus Award Nominee for Best SF Novel (1987),Arthur C. Clarke Award (1987),Audie Award for Fiction (2013),Los Angeles Times Book Prize for Fiction (1986),Prometheus Award Nominee for Best Novel (1987),James Tiptree Jr. Award Nominee for Retrospective (1995),Governor General's Literary Awards / Prix littéraires du Gouverneur général for Fiction (1985),SF Chronicle Award Nominee for Novel (1987),Commonwealth Writers' Prize Nominee for Best Book in Caribbean and Canada (1987),CBC Canada Reads Nominee (2002),Metų verstinė knyga Nominee (2012)",https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
One Flew Over the Cuckoo's Nest,Ken Kesey,4.19,,,"Dale Harding,Doctor Spivey,Bruce Fredrickson,James ""Jim"" Sefelt,Scanlon,Martini",,,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.57,"Harry Potter's third year at Hogwarts is full of new dangers. A convicted murderer, Sirius Black, has broken out of Azkaban prison, and it seems he's after Harry. Now Hogwarts is being patrolled by the dementors, the Azkaban guards who are hunting Sirius. But Harry can't imagine that Sirius or, for that matter, the evil Lord Voldemort could be more frightening than the dementors themselves, who have the terrible power to fill anyone they come across with aching loneliness and despair. Meanwhile, life continues as usual at Hogwarts. A top-of-the-line broom takes Harry's success at Quidditch, the sport of the Wizarding world, to new heights. A cute fourth-year student catches his eye. And he becomes close with the new Defense of the Dark Arts teacher, who was a childhood friend of his father. Yet despite the relative safety of life at Hogwarts and the best efforts of the dementors, the threat of Sirius Black grows ever closer. But if Harry has learned anything from his education in wizardry, it is that things are often not what they seem. Tragic revelations, heartwarming surprises, and high-stakes magical adventures await the boy wizard in this funny and poignant third installment of the beloved series.",English,"Dudley Dursley,Severus Snape,Rubeus Hagrid,Minerva McGonagall,Neville Longbottom,Fred Weasley,George Weasley,Percy Weasley,Ginny Weasley,Colin Creevey,Filius Flitwick,Pomona Sprout,Arthur Weasley,Molly Weasley,Cho Chang,Marjorie Dursley,Cornelius Fudge,Remus Lupin,Sybil Trelawney,Peter Pettigrew,Poppy Pomfrey,Stan Shunpike,Oliver Wood,Cedric Diggory,Dean Thomas,Seamus Finnigan,Rolanda Hooch,Katie Bell,Ernie Prang,Albus Dumbledore,Harry Potter,Hermione Granger",,"Bram Stoker Award for Best Work for Young Readers (1999),Hugo Award Nominee for Best Novel (2000),Locus Award for Best Fantasy Novel (2000),Whitbread Award for Children's Book of the Year (1999),Mythopoeic Fantasy Award for Children's Literature (2008),Books I Loved Best Yearly (BILBY) Awards for Older Readers (2005),Colorado Blue Spruce Young Adult Book Award (2004),Maine Student Book Award (2001),Golden Archer Award for Intermediate (2001),Indian Paintbrush Book Award (2004),Soaring Eagle Book Award (2002),Hotze de Roosprijs (2001),Nestlé Smarties Book Prize for 9–11 years (1999)",https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Gone with the Wind,Margaret Mitchell,4.30,,English,"Ella Lorena Kennedy,Eugenie Victoria ""Bonnie Blue"" Butler,Beau Wilkes,India Wilkes,Honey Wilkes,John  Wilkes,Gerald O'Hara,Ellen O'Hara,Suellen O'Hara,Carreen O'Hara,Eulalie,Pauline,Mammy Abigail,Prissy,Pork,Dilcey,Charles Hamilton,Frank Kennedy,Belle Watling,Jonas Wilkerson,Emmie Slattery,Will Benteen,Aunt Pittypat Hamilton,Uncle Peter","Atlanta, Georgia","Pulitzer Prize for Novel (1937),National Book Award for Novel (1936)",https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
The Giver,Lois Lowry,4.13,,English,"Fiona (Lois Lowry),Mother (Lois Lowry),Father (Lois Lowry),The Chief Elder (Lois Lowry),Lily (Lois Lowry)",,"Newbery Medal (1994),Mythopoeic Fantasy Award Nominee for Children's Literature (1994),Golden Duck Award for Young Adult (Hal Clement Award) (1994),Garden State Book Award for Teen Fiction Grades 6-8 (1996),Buckeye Children's Book Award for Grade 6-8 (1997),Grand Canyon Reader Award for Teen Book (1995),Maryland Black-Eyed Susan Book Award for Grade 6-9 (1995),Golden Sower Award for Young Adult (1995),Pennsylvania Young Readers' Choice Award for Grades 3-8 (1995),Soaring Eagle Book Award Nominee (1996),Pacific Northwest Library Association Young Reader's Choice Award for Senior (1996),Boston Globe-Horn Book Award Nominee for Fiction (1993),New Mexico Land of Enchantment Award (1997),Eliot Rosewater Indiana High School Book Award (1997),William Allen White Children's Book Award (1996),Wyoming Indian Paintbrush Nominee (1996),NSK Neustadt Prize for Children's Literature Nominee (2013),Oklahoma Sequoyah Award for YA (1996),Rebecca Caudill Young Readers' Book Award (1996),Hea Lasteraamat (2010),Premi Protagonista Jove for Categoria 13-14 anys (2016),Margaret A. Edwards Award (2007)",https://www.goodreads.com/book/show/3636.The_Giver
The Stranger,Albert Camus,3.98,,,,,PEN Translation Prize for Matthew Ward (1989),https://www.goodreads.com/book/show/49552.The_Stranger
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.43,"Ever since Harry Potter had come home for the summer, the Dursleys had been so mean and hideous that all Harry wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he’s packing his bags, Harry receives a warning from a strange impish creature who says that if Harry returns to Hogwarts, disaster will strike.",English,"Severus Snape,Rubeus Hagrid,Lord Voldemort,Minerva McGonagall,Neville Longbottom,Fred Weasley,George Weasley,Percy Weasley,Ginny Weasley,Colin Creevey,Filius Flitwick,Gilderoy Lockhart,Lucius Malfoy,Pomona Sprout,Arthur Weasley,Molly Weasley,Cornelius Fudge,Poppy Pomfrey,Oliver Wood,Dobby,Parvati Patil,Dean Thomas,James Potter,Seamus Finnigan,Rolanda Hooch,Katie Bell,Albus Dumbledore,Harry Potter,Hermione Granger,...less,Hogwarts School of Witchcraft and Wizardry",,"Mythopoeic Fantasy Award for Children's Literature (2008),British Book Award (1999),Prijs van de Jonge Jury (2002),Books I Loved Best Yearly (BILBY) Awards for Older Readers (2006),Colorado Blue Spruce Young Adult Book Award (2008),Golden Archer Award for Middle/Junior High (2008),Nestlé Smarties Book Prize for 9–11 years (1998)",https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.36,"At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series. ",English,,,,https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy
The Old Man and the Sea,Ernest Hemingway,3.78,"This short novel, already a modern classic, is the superbly told, tragic story of a Cuban fisherman in the Gulf Stream and the giant Marlin he kills and loses — specifically referred to in the citation accompanying the author's Nobel Prize for literature in 1954.",English,,Cuba,"Pulitzer Prize for Fiction (1953),Premio Bancarella (1953),National Book Award Finalist for Fiction (1953)",https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea
Ender's Game,Orson Scott Card,4.30,"Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip away and find the diamond inside, or destroy him utterly. Ender Wiggin is six years old when it begins. He will grow up fast.",English,"Alai,Hyrum Graff,Andrew Wiggin,Petra Arkanian,""Bean"",Major Anderson,Bonzo,Major Imbu",,"Hugo Award for Best Novel (1986),Nebula Award for Best Novel (1985),Nébula (1985),Margaret A. Edwards Award (2008)",https://www.goodreads.com/book/show/375802.Ender_s_Game
Memoirs of a Geisha,Arthur Golden,4.12,"A literary sensation and runaway bestseller, this brilliant debut novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha.",English,"Mameha,Ken Iwamura,Pumpkin,Toshikazu Nobu",Kyoto,,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha
Charlotte's Web,E.B. White,4.18,"This beloved book by E. B. White, author of ",English,,United States of America,"Newbery Medal Nominee (1953),George C. Stone Center for Children's Books Recognition of Merit Award (1970),Audie Award Nominee for Audiobook of the Year and Middle Grade (2020),Massachusetts Children's Book Award (1984),Laura Ingalls Wilder Award (1970)",https://www.goodreads.com/book/show/24178.Charlotte_s_Web
The Fellowship of the Ring,J.R.R. Tolkien,4.36,Alternate Cover Edition ISBN 0618260269 (copyright page ISBN is 0618346252 - different from back cover),English,"Gimli,Boromir,Bilbo Baggins,Tom Bombadil,Rúmil,Saruman,Elrond Half-elven,Arwen Undómiel,Galadriel,Gollum,Goldberry,Legolas,Sam Gamgee",,Publieksprijs voor het Nederlandse Boek Nominee (2002),https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
The Return of the King,J.R.R. Tolkien,4.53,Alternate cover edition ,English,"Gimli,Bilbo Baggins,Saruman,Éowyn,Éomer,Elrond Half-elven,Arwen Undómiel,Galadriel,Faramir,Gollum,Legolas,Sam Gamgee",,,https://www.goodreads.com/book/show/18512.The_Return_of_the_King
The Chronicles of Narnia,C.S. Lewis,4.26,"Journeys to the end of the world, fantastic creatures, and epic battles between good and evil—what more could any reader ask for in one book? The book that has it all is ",,"Prince Caspian,Jill Pole,Prince Rilian,Puddleglum,Trumpkin,Jewel,Aravis,Mr. Tumnus,Puzzle,King Tirian,Digory Kirke,Peter Pevensie,Susan Pevensie,Reepicheep,Jadis,Bacchus (god),Mr. & Mrs. Beaver,Andrew Kirke,Shasta,Silenus,Nikabrik,King Miraz,Dr. Cornelius,Trufflehunter,Shift","London, England",,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
The Bell Jar,Sylvia Plath,4.01,,,"Buddy Willard,Doctor Nolan,Joan Gilling,Jay Cee,Betsy,Irwin,Doctor Gordon,Philomena Guinea,Mrs. Willard,Lenny Shepherd,Dodo Conway,Eric,Doreen",,,https://www.goodreads.com/book/show/6514.The_Bell_Jar
A Wrinkle in Time,Madeleine L'Engle,4.00,"Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure—one that will threaten their lives and our universe.",English,"Dennys Murry,Mrs. Whatsit,Mrs. Who,Mrs. Which",,"Newbery Medal (1963),Dorothy Canfield Fisher Children's Book Award Nominee (1964),Oklahoma Sequoyah Award (1965),Margaret A. Edwards Award (1998)",https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
The Giving Tree,Shel Silverstein,4.37,"""Once there was a tree...and she loved a little boy.""",English,,,,https://www.goodreads.com/book/show/370493.The_Giving_Tree
Watership Down,Richard  Adams,4.06,"Set in England's Downs, a once idyllic rural landscape, this stirring tale of adventure, courage and survival follows a band of very special creatures on their flight from the intrusion of man and the certain destruction of their home. Led by a stouthearted pair of friends, they journey forth from t",English,"Blackberry,Dandelion,Hyzenthlay,Frith,Silver (Watership Down),Kehaar,General Woundwort",,"Mythopoeic Fantasy Award Nominee (1975),Guardian Children's Fiction Prize (1973),Audie Award Nominee for Best Male Narrator (2020),Boston Globe-Horn Book Award (1975),California Young Readers Medal for Young Adult (1977),Carnegie Medal (1972)",https://www.goodreads.com/book/show/76620.Watership_Down
Anne of Green Gables,L.M. Montgomery,4.26,,English,"Anne Shirley,Jane Andrews,Ruby Gillis,Josie Pye,Prissy Andrews,Mr. Phillips,Mrs. Allan",,,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables
A Tree Grows in Brooklyn,Betty  Smith,4.27,"The beloved American classic about a young girl's coming-of-age at the turn of the century, Betty Smith's ",English,"Sissy Rommely,Eva ""Evy"" Rommely Flittman,Thomas Rommely,Sergeant McShane,...less,New York State","Williamsburg, Brooklyn, New York",Audie Award for Classic (2002),https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn
The Two Towers,J.R.R. Tolkien,4.44,,English,"Gimli,Boromir,Bilbo Baggins,Eriol,Rúmil,Treebeard,Saruman,Éowyn,Éomer,Elrond Half-elven,Arwen Undómiel,Galadriel,Faramir,Gollum,Legolas,Sam Gamgee",,,https://www.goodreads.com/book/show/15241.The_Two_Towers
Siddhartha,Hermann Hesse,4.03,,,,,,https://www.goodreads.com/book/show/52036.Siddhartha
Night,Elie Wiesel,4.34,"Born in the town of Sighet, Transylvania, Elie Wiesel was a teenager when he and his family were taken from their home in 1944 to Auschwitz concentration camp, and then to Buchenwald. ",,,,,https://www.goodreads.com/book/show/1617.Night
The Alchemist,Paulo Coelho,3.88,"Paulo Coelho's enchanting novel has inspired a devoted following around the world. This story, dazzling in its powerful simplicity and soul-stirring wisdom, is about an Andalusian shepherd boy named Santiago who travels from his homeland in Spain to the Egyptian desert in search of a treasure buried near the Pyramids. Along the way he meets a Gypsy woman, a man who calls himself king, and an alchemist, all of whom point Santiago in the direction of his quest. No one knows what the treasure is, or if Santiago will be able to surmount the obstacles in his path. But what starts out as a journey to find worldly goods turns into a discovery of the treasure found within. Lush, evocative, and deeply humane, the story of Santiago is an eternal testament to the transforming power of our dreams and the importance of listening to our hearts.",English,Andalusia,Egypt,"NBDB National Book Award Nominee for Translation (2015),Grand Prix des lectrices de Elle for roman (1995),Premio Grinzane Cavour for Narrativa Straniera (1996),Corine Internationaler Buchpreis for Belletristik (2002)",https://www.goodreads.com/book/show/18144590-the-alchemist
Atlas Shrugged,Ayn Rand,3.69,"Why did he have to fight his battle, not against his enemies, but against those who needed him most, and his hardest battle against the woman he loved? What is the world’s motor — and the motive power of every man? You will know the answer",English,"Francisco d'Anconia,James Taggart",,"Prometheus Hall of Fame Award (1983),National Book Award Finalist for Fiction (1958)",https://www.goodreads.com/book/show/662.Atlas_Shrugged
Green Eggs and Ham,Dr. Seuss,4.30,"“Do you like green eggs and ham?” asks Sam-I-am in this Beginner Book by Dr. Seuss. In a house or with a mouse? In a boat or with a goat? On a train or in a tree? Sam keeps asking persistently. With unmistakable characters and signature rhymes, Dr. Seuss’s beloved favorite has cemented its place as a children’s classic. In this most famous of cumulative tales, the list of places to enjoy green eggs and ham, and friends to enjoy them with, gets longer and longer. Follow Sam-I-am as he insists that this unusual treat is indeed a delectable snack to be savored everywhere and in every way. ",English,,,,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
In Cold Blood,Truman Capote,4.07,"On November 15, 1959, in the small town of Holcomb, Kansas, four members of the Clutter family were savagely murdered by blasts from a shotgun held a few inches from their faces. There was no apparent motive for the crime, and there were almost no clues. ",English,"Kenyon Clutter,Alvin Dewey","Holcomb, Kansas",Edgar Award for Best Fact Crime (1966),https://www.goodreads.com/book/show/168642.In_Cold_Blood
The Poisonwood Bible,Barbara Kingsolver,4.07," is a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it -- from garden seeds to Scripture -- is calamitously transformed on African soil. What follows is",English,"Dr Bud Wharton,Adah Price,Reverend & Mrs. Underdown,...less,Leopoldville","Bethlehem, Georgia","Pulitzer Prize Nominee for Fiction (1999),Orange Prize Nominee for Fiction Shortlist (1999),Book Sense Book of the Year Award for Adult (2000),PEN/Faulkner Award for Fiction Nominee (1999),Independent Publisher Book Award (IPPY) for Audio Fiction - Unabridged (1999),Exclusive Books Boeke Prize (2000),Puddly Award for Novel (2001),International Dublin Literary Award Nominee (2000)",https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible
